budget,genres,original_language,revenue,runtime,title,director
132000000.0,"['Family', 'Animation', 'Adventure', 'Comedy']",en,373552094.0,92.0,Penguins of Madagascar,"['Eric Darnell', 'Simon J. Smith']"
70000000.0,"['Action', 'Drama', 'Mystery', 'Thriller']",en,442824138.0,115.0,The Bourne Ultimatum,['Paul Greengrass']
130000000.0,"['Adventure', 'Animation', 'Family', 'Comedy']",en,631744560.0,90.0,Kung Fu Panda,"['Mark Osborne', 'John Stevenson']"
130000000.0,"['Science Fiction', 'Action', 'Adventure']",en,519311965.0,117.0,Ant-Man,['Peyton Reed']
130000000.0,"['Adventure', 'Action', 'Science Fiction']",en,847423452.0,146.0,The Hunger Games: Catching Fire,['Francis Lawrence']
135000000.0,"['Fantasy', 'Comedy', 'Animation', 'Science Fiction', 'Family']",en,368871007.0,94.0,Home,['Tim Johnson']
132000000.0,"['Adventure', 'Thriller', 'Science Fiction']",en,591739379.0,116.0,War of the Worlds,['Steven Spielberg']
130000000.0,"['Adventure', 'Action', 'Comedy', 'Thriller', 'Crime']",en,273339556.0,147.0,Bad Boys II,['Michael Bay']
130000000.0,"['Action', 'Adventure', 'Animation', 'Family', 'Fantasy']",en,554987477.0,90.0,Puss in Boots,['Chris Miller']
110000000.0,"['Action', 'Mystery', 'Thriller']",en,293329073.0,100.0,Salt,['Phillip Noyce']
125000000.0,"['Drama', 'Adventure']",en,362637473.0,139.0,Noah,['Darren Aronofsky']
130000000.0,"['Adventure', 'Animation', 'Mystery']",en,371940071.0,107.0,The Adventures of Tintin,['Steven Spielberg']
130000000.0,"['Adventure', 'Fantasy', 'Family']",en,789804554.0,141.0,Harry Potter and the Prisoner of Azkaban,['Alfonso Cuarón']
130000000.0,['Drama'],en,49554002.0,165.0,Australia,['Baz Luhrmann']
130000000.0,"['Science Fiction', 'Action', 'Adventure']",en,243843127.0,100.0,After Earth,['M. Night Shyamalan']
127500000.0,"['Animation', 'Family']",en,354248063.0,82.0,Dinosaur,"['Ralph Zondag', 'Eric Leighton']"
127000000.0,"['Adventure', 'Comedy', 'Fantasy', 'Family']",en,349424282.0,97.0,Night at the Museum: Secret of the Tomb,['Shawn Levy']
130000000.0,"['Animation', 'Action', 'Comedy', 'Family', 'Science Fiction']",en,321887208.0,95.0,Megamind,['Tom McGrath']
125000000.0,"['Adventure', 'Fantasy', 'Family']",en,976475550.0,152.0,Harry Potter and the Philosopher's Stone,['Chris Columbus']
130000000.0,"['Fantasy', 'Action', 'Comedy', 'Crime']",en,61648500.0,96.0,R.I.P.D.,['Robert Schwentke']
140000000.0,"['Adventure', 'Fantasy', 'Action']",en,655011224.0,143.0,Pirates of the Caribbean: The Curse of the Black Pearl,['Gore Verbinski']
125000000.0,"['Science Fiction', 'Adventure', 'Thriller']",en,752100229.0,123.0,The Hunger Games: Mockingjay - Part 1,['Francis Lawrence']
125000000.0,"['Thriller', 'Mystery']",en,767820459.0,149.0,The Da Vinci Code,['Ron Howard']
103000000.0,"['Animation', 'Adventure', 'Comedy', 'Family']",en,500188435.0,102.0,Rio 2,['Carlos Saldanha']
110000000.0,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",en,407711549.0,133.0,X2,['Bryan Singer']
125000000.0,"['Action', 'Thriller', 'Crime']",en,626137675.0,130.0,Fast Five,['Justin Lin']
125000000.0,"['Adventure', 'Action', 'Crime', 'Mystery']",en,334615000.0,129.0,Sherlock Holmes: A Game of Shadows,['Guy Ritchie']
125000000.0,"['Adventure', 'Fantasy', 'Action']",en,232713139.0,106.0,Clash of the Titans,['Louis Leterrier']
65000000.0,"['Action', 'Adventure', 'Science Fiction']",en,261317921.0,113.0,Total Recall,['Paul Verhoeven']
160000000.0,"['Adventure', 'Fantasy', 'Action']",en,61698899.0,102.0,The 13th Warrior,['John McTiernan']
130000000.0,"['Action', 'Thriller']",en,276572938.0,120.0,The Bourne Legacy,['Tony Gilroy']
125000000.0,"['Action', 'Crime', 'Fantasy']",en,238207122.0,125.0,Batman & Robin,['Joel Schumacher']
123000000.0,"['Family', 'Comedy', 'Fantasy']",en,345141403.0,104.0,How the Grinch Stole Christmas,['Ron Howard']
125000000.0,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",en,544272402.0,124.0,The Day After Tomorrow,['Roland Emmerich']
125000000.0,"['Adventure', 'Action', 'Thriller']",en,546388105.0,123.0,Mission: Impossible II,['John Woo']
120000000.0,['Drama'],en,325756637.0,130.0,The Perfect Storm,['Wolfgang Petersen']
130000000.0,"['Adventure', 'Fantasy', 'Action', 'Thriller']",en,289047763.0,92.0,Fantastic 4: Rise of the Silver Surfer,['Tim Story']
120000000.0,"['Adventure', 'Drama', 'Action']",en,609016565.0,127.0,Life of Pi,['Ang Lee']
110000000.0,"['Thriller', 'Action', 'Fantasy', 'Horror']",en,228738393.0,114.0,Ghost Rider,['Mark Steven Johnson']
120000000.0,"['Action', 'Thriller']",en,415484914.0,123.0,Jason Bourne,['Paul Greengrass']
120000000.0,"['Action', 'Adventure', 'Comedy']",en,259175788.0,106.0,Charlie's Angels: Full Throttle,['McG']
130000000.0,"['Science Fiction', 'Adventure', 'Mystery']",en,403170142.0,124.0,Prometheus,['Ridley Scott']
120000000.0,"['Family', 'Adventure', 'Animation', 'Comedy']",en,169956806.0,78.0,Stuart Little 2,['Rob Minkoff']
