budget,genres,original_language,revenue,runtime,title,director
209000000,"['Thriller', 'Action', 'Adventure', 'Science Fiction']",en,303025485,131.0,Battleship,['Peter Berg']
150000000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",en,1513528810,124.0,Jurassic World,['Colin Trevorrow']
200000000,"['Action', 'Adventure', 'Thriller']",en,1108561013,143.0,Skyfall,['Sam Mendes']
200000000,"['Action', 'Adventure', 'Fantasy']",en,783766341,127.0,Spider-Man 2,['Sam Raimi']
200000000,"['Action', 'Adventure', 'Science Fiction']",en,1215439994,130.0,Iron Man 3,['Shane Black']
200000000,"['Family', 'Fantasy', 'Adventure']",en,1025491110,108.0,Alice in Wonderland,['Tim Burton']
210000000,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",en,459359555,104.0,X-Men: The Last Stand,['Brett Ratner']
200000000,"['Animation', 'Family']",en,743559607,104.0,Monsters University,['Dan Scanlon']
150000000,"['Science Fiction', 'Action', 'Adventure']",en,836297228,150.0,Transformers: Revenge of the Fallen,['Michael Bay']
210000000,"['Science Fiction', 'Action', 'Adventure']",en,1091405097,165.0,Transformers: Age of Extinction,['Michael Bay']
200000000,"['Fantasy', 'Adventure', 'Family']",en,491868548,130.0,Oz: The Great and Powerful,['Sam Raimi']
200000000,"['Action', 'Adventure', 'Fantasy']",en,705717432,142.0,The Amazing Spider-Man 2,['Marc Webb']
170000000,"['Adventure', 'Action', 'Science Fiction']",en,400062763,125.0,TRON: Legacy,['Joseph Kosinski']
200000000,"['Animation', 'Family', 'Adventure', 'Comedy']",en,559852396,106.0,Cars 2,"['John Lasseter', 'Brad Lewis']"
200000000,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",en,219851172,114.0,Green Lantern,['Martin Campbell']
200000000,"['Animation', 'Family', 'Comedy']",en,1066969703,103.0,Toy Story 3,['Lee Unkrich']
200000000,"['Action', 'Science Fiction', 'Thriller']",en,371353001,115.0,Terminator Salvation,['McG']
190000000,['Action'],en,1506249360,137.0,Furious 7,['James Wan']
200000000,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']",en,531865000,116.0,World War Z,['Marc Forster']
250000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",en,747862775,131.0,X-Men: Days of Future Past,['Bryan Singer']
190000000,"['Action', 'Adventure', 'Science Fiction']",en,467365246,132.0,Star Trek Into Darkness,['J.J. Abrams']
195000000,"['Action', 'Family', 'Fantasy']",en,197687603,114.0,Jack the Giant Slayer,['Bryan Singer']
105000000,"['Drama', 'Romance']",en,351040419,143.0,The Great Gatsby,['Baz Luhrmann']
150000000,"['Adventure', 'Fantasy', 'Action', 'Romance']",en,335154643,116.0,Prince of Persia: The Sands of Time,['Mike Newell']
180000000,"['Action', 'Science Fiction', 'Adventure']",en,407602906,131.0,Pacific Rim,['Guillermo del Toro']
195000000,"['Action', 'Science Fiction', 'Adventure']",en,1123746996,154.0,Transformers: Dark of the Moon,['Michael Bay']
185000000,"['Adventure', 'Action']",en,786636033,122.0,Indiana Jones and the Kingdom of the Crystal Skull,['Steven Spielberg']
175000000,"['Adventure', 'Animation', 'Family']",en,331926147,93.0,The Good Dinosaur,['Peter Sohn']
185000000,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']",en,538983207,93.0,Brave,"['Brenda Chapman', 'Mark Andrews', 'Steve Purcell']"
185000000,"['Action', 'Adventure', 'Science Fiction']",en,343471816,122.0,Star Trek Beyond,['Justin Lin']
180000000,"['Animation', 'Family']",en,521311860,98.0,WALL·E,['Andrew Stanton']
140000000,"['Action', 'Comedy', 'Crime', 'Thriller']",en,258022233,91.0,Rush Hour 3,['Brett Ratner']
200000000,"['Action', 'Adventure', 'Science Fiction']",en,769653595,158.0,2012,['Roland Emmerich']
200000000,"['Animation', 'Drama']",en,325233863,96.0,A Christmas Carol,['Robert Zemeckis']
176000003,"['Science Fiction', 'Fantasy', 'Action', 'Adventure']",en,183987723,124.0,Jupiter Ascending,"['Lilly Wachowski', 'Lana Wachowski']"
180000000,"['Action', 'Adventure']",en,356743061,109.0,The Legend of Tarzan,['David Yates']
180000000,"['Adventure', 'Family', 'Fantasy']",en,748806957,143.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",['Andrew Adamson']
178000000,['Science Fiction'],en,543934787,144.0,X-Men: Apocalypse,['Bryan Singer']
185000000,"['Drama', 'Action', 'Crime', 'Thriller']",en,1004558444,152.0,The Dark Knight,['Christopher Nolan']
175000000,"['Animation', 'Comedy', 'Family', 'Adventure']",en,735099082,96.0,Up,['Pete Docter']
175000000,"['Animation', 'Family', 'Adventure', 'Science Fiction']",en,381509870,94.0,Monsters vs Aliens,"['Conrad Vernon', 'Rob Letterman']"
140000000,"['Action', 'Science Fiction', 'Adventure']",en,585174222,126.0,Iron Man,['Jon Favreau']
170000000,"['Adventure', 'Drama', 'Family']",en,185770160,126.0,Hugo,['Martin Scorsese']
170000000,"['Action', 'Adventure', 'Comedy', 'Science Fiction', 'Western']",en,222104681,106.0,Wild Wild West,['Barry Sonnenfeld']
145000000,"['Adventure', 'Action', 'Fantasy']",en,401128639,112.0,The Mummy: Tomb of the Dragon Emperor,['Rob Cohen']
175000000,"['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']",en,745000000,123.0,Suicide Squad,['David Ayer']
175000000,"['Fantasy', 'Comedy', 'Family']",en,173000000,96.0,Evan Almighty,['Tom Shadyac']
178000000,"['Action', 'Science Fiction']",en,370541256,113.0,Edge of Tomorrow,['Doug Liman']
175000000,"['Adventure', 'Action']",en,264218220,135.0,Waterworld,['Kevin Reynolds']
175000000,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",en,302469017,118.0,G.I. Joe: The Rise of Cobra,['Stephen Sommers']
175000000,"['Drama', 'Comedy', 'Animation', 'Family']",en,857611174,94.0,Inside Out,['Pete Docter']
175000000,"['Family', 'Adventure', 'Drama', 'Fantasy']",en,966550600,106.0,The Jungle Book,['Jon Favreau']
200000000,"['Adventure', 'Action', 'Science Fiction']",en,623933331,124.0,Iron Man 2,['Jon Favreau']
170000000,"['Adventure', 'Fantasy', 'Drama']",en,396600000,127.0,Snow White and the Huntsman,['Rupert Sanders']
180000000,"['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']",en,758539785,97.0,Maleficent,['Robert Stromberg']
170000000,"['Science Fiction', 'Action', 'Drama', 'Thriller']",en,710644566,130.0,Dawn of the Planet of the Apes,['Matt Reeves']
27000000,"['Action', 'Adventure', 'Science Fiction', 'Romance']",en,0,109.0,The Lovers,['Roland Joffé']
175000000,"['Drama', 'Action', 'Adventure', 'Fantasy']",en,150962475,119.0,47 Ronin,['Carl Rinsch']
170000000,"['Action', 'Adventure', 'Science Fiction']",en,714766572,136.0,Captain America: The Winter Soldier,"['Anthony Russo', 'Joe Russo']"
165000000,"['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']",en,752600867,93.0,Shrek Forever After,['Mike Mitchell']
190000000,"['Adventure', 'Family', 'Mystery', 'Science Fiction']",en,209154322,130.0,Tomorrowland,['Brad Bird']
165000000,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']",en,652105443,102.0,Big Hero 6,"['Chris Williams', 'Don Hall']"
165000000,"['Family', 'Animation', 'Comedy', 'Adventure']",en,471222889,108.0,Wreck-It Ralph,['Rich Moore']
165000000,"['Adventure', 'Animation', 'Family', 'Fantasy']",en,305875730,100.0,The Polar Express,['Robert Zemeckis']
165000000,"['Action', 'Adventure', 'Science Fiction']",en,389681935,120.0,Independence Day: Resurgence,['Roland Emmerich']
165000000,"['Fantasy', 'Adventure', 'Animation', 'Family']",en,494878759,98.0,How to Train Your Dragon,"['Chris Sanders', 'Dean DeBlois']"
200000000,"['Action', 'Thriller', 'Science Fiction']",en,435000000,109.0,Terminator 3: Rise of the Machines,['Jonathan Mostow']
170000000,"['Action', 'Science Fiction', 'Adventure']",en,773328629,121.0,Guardians of the Galaxy,['James Gunn']
165000000,"['Adventure', 'Drama', 'Science Fiction']",en,675120017,169.0,Interstellar,['Christopher Nolan']
160000000,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']",en,825532764,148.0,Inception,['Christopher Nolan']
15000000,"['Action', 'Adventure', 'Drama', 'Horror', 'Science Fiction']",ja,77000000,120.0,Shin Godzilla,"['Hideaki Anno', 'Shinji Higuchi']"
250000000,"['Adventure', 'Fantasy', 'Action']",en,1021103568,169.0,The Hobbit: An Unexpected Journey,['Peter Jackson']
38000000,"['Action', 'Crime', 'Thriller']",en,207283925,106.0,The Fast and the Furious,['Rob Cohen']
150000000,"['Fantasy', 'Drama', 'Thriller', 'Mystery', 'Romance']",en,333932083,166.0,The Curious Case of Benjamin Button,['David Fincher']
160000000,"['Action', 'Science Fiction', 'Adventure']",en,353624124,132.0,X-Men: First Class,['Matthew Vaughn']
160000000,"['Action', 'Adventure', 'Science Fiction']",en,653428261,137.0,The Hunger Games: Mockingjay - Part 2,['Francis Lawrence']
150000000,"['Fantasy', 'Adventure', 'Action', 'Comedy', 'Drama']",en,215283742,109.0,The Sorcerer's Apprentice,['Jon Turteltaub']
160000000,"['Adventure', 'Action', 'Drama', 'Thriller']",en,181674817,99.0,Poseidon,['Wolfgang Petersen']
170000000,['Fantasy'],en,299370084,113.0,Alice Through the Looking Glass,['James Bobin']
160000000,"['Fantasy', 'Adventure', 'Animation', 'Comedy', 'Family']",en,798958165,93.0,Shrek the Third,"['Chris Miller', 'Raman Hui']"
160000000,"['Action', 'Adventure', 'Fantasy']",en,433677183,123.0,Warcraft,['Duncan Jones']
155000000,"['Science Fiction', 'Action', 'Thriller', 'Adventure']",en,440603537,126.0,Terminator Genisys,['Alan Taylor']
155000000,"['Adventure', 'Family', 'Fantasy']",en,415686217,113.0,The Chronicles of Narnia: The Voyage of the Dawn Treader,['Michael Apted']
140000000,"['History', 'Romance', 'War']",en,449220945,183.0,Pearl Harbor,['Michael Bay']
150000000,"['Adventure', 'Science Fiction', 'Action']",en,709709780,144.0,Transformers,['Michael Bay']
155000000,"['War', 'History', 'Action', 'Adventure', 'Drama', 'Romance']",en,167298192,175.0,Alexander,['Oliver Stone']
150000000,"['Adventure', 'Fantasy', 'Family', 'Mystery']",en,938212738,138.0,Harry Potter and the Order of the Phoenix,['David Yates']
150000000,"['Adventure', 'Fantasy', 'Family']",en,895921036,157.0,Harry Potter and the Goblet of Fire,['Mike Newell']
150000000,"['Fantasy', 'Action']",en,624029371,92.0,Hancock,['Peter Berg']
150000000,"['Drama', 'Horror', 'Action', 'Thriller', 'Science Fiction']",en,585349010,101.0,I Am Legend,['Francis Lawrence']
150000000,"['Adventure', 'Comedy', 'Family', 'Fantasy']",en,474968763,115.0,Charlie and the Chocolate Factory,['Tim Burton']
150000000,"['Animation', 'Comedy', 'Family', 'Fantasy']",en,623722818,111.0,Ratatouille,"['Jan Pinkava', 'Brad Bird']"
150000000,"['Action', 'Crime', 'Drama']",en,374218673,140.0,Batman Begins,['Christopher Nolan']
150000000,"['Family', 'Animation']",en,603900354,89.0,Madagascar: Escape 2 Africa,"['Eric Darnell', 'Tom McGrath']"
150000000,"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Family']",en,413106170,105.0,Night at the Museum: Battle of the Smithsonian,['Shawn Levy']
150000000,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",en,373062864,107.0,X-Men Origins: Wolverine,['Gavin Hood']
150000000,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",en,424988211,129.0,The Matrix Revolutions,"['Lilly Wachowski', 'Lana Wachowski']"
150000000,"['Animation', 'Adventure', 'Family']",en,1274219009,102.0,Frozen,"['Chris Buck', 'Jennifer Lee']"
150000000,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",en,738599701,138.0,The Matrix Reloaded,"['Lilly Wachowski', 'Lana Wachowski']"
170000000,"['Action', 'Adventure', 'Fantasy']",en,644571402,112.0,Thor: The Dark World,['Alan Taylor']
150000000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",en,378858340,120.0,Mad Max: Fury Road,['George Miller']
150000000,"['Thriller', 'Mystery']",en,356613439,138.0,Angels & Demons,['Ron Howard']
150000000,"['Adventure', 'Fantasy', 'Action']",en,449326618,115.0,Thor,['Kenneth Branagh']
150000000,"['Animation', 'Family', 'Adventure', 'Comedy']",en,309979994,98.0,Bolt,"['Chris Williams', 'Byron Howard']"
150000000,"['Fantasy', 'Action', 'Adventure', 'Family', 'Comedy']",en,292817841,88.0,G-Force,['Hoyt Yeatman']
150000000,['Adventure'],en,301000000,99.0,Wrath of the Titans,['Jonathan Liebesman']
150000000,"['Comedy', 'Fantasy']",en,245527149,113.0,Dark Shadows,['Tim Burton']
150000000,"['Action', 'Adventure', 'Thriller']",en,682330139,131.0,Mission: Impossible - Rogue Nation,['Christopher McQuarrie']
150000000,"['Drama', 'Horror', 'Thriller']",en,0,102.0,The Wolfman,['Joe Johnston']
150000000,"['Family', 'Animation', 'Adventure', 'Comedy']",en,287594577,91.0,Bee Movie,"['Steve Hickner', 'Simon J. Smith']"
150000000,"['Animation', 'Family']",en,665692281,91.0,Kung Fu Panda 2,['Jennifer Yuh Nelson']
150000000,"['Action', 'Adventure', 'Family', 'Fantasy']",en,318502923,103.0,The Last Airbender,['M. Night Shyamalan']
150000000,"['Adventure', 'Action', 'Thriller']",en,397850012,126.0,Mission: Impossible III,['J.J. Abrams']
150000000,"['Action', 'Drama', 'Thriller']",en,205366737,131.0,White House Down,['Roland Emmerich']
150000000,"['Adventure', 'Animation', 'Family']",en,38992758,88.0,Mars Needs Moms,['Simon Wells']
149000000,"['Adventure', 'Animation', 'Comedy', 'Family']",en,64459316,85.0,Flushed Away,"['David Bowers', 'Sam Fell']"
150000000,"['Adventure', 'Family', 'Fantasy']",en,128388320,111.0,Pan,['Joe Wright']
145000000,"['Animation', 'Adventure', 'Family']",en,272912430,92.0,Mr. Peabody & Sherman,['Rob Minkoff']
175000000,"['Adventure', 'Drama', 'War']",en,497409852,163.0,Troy,['Wolfgang Petersen']
145000000,"['Animation', 'Family']",en,746921274,93.0,Madagascar 3: Europe's Most Wanted,"['Conrad Vernon', 'Eric Darnell', 'Tom McGrath']"
140000000,"['Adventure', 'Action', 'Thriller']",en,431971116,133.0,Die Another Day,['Lee Tamahori']
144000000,"['Action', 'Fantasy', 'Comedy']",en,229147509,116.0,Ghostbusters,['Paul Feig']
140000000,"['Action', 'Thriller', 'Science Fiction', 'Adventure']",en,553799566,151.0,Armageddon,['Michael Bay']
140000000,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",en,441818803,88.0,Men in Black II,['Barry Sonnenfeld']
70000000,"['Adventure', 'Action', 'Animation']",en,195735876,115.0,Beowulf,['Robert Zemeckis']
145000000,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",en,521170825,95.0,Kung Fu Panda 3,"['Jennifer Yuh Nelson', 'Alessandro Carloni']"
145000000,"['Action', 'Thriller', 'Adventure']",en,694713380,133.0,Mission: Impossible - Ghost Protocol,['Brad Bird']
145000000,"['Fantasy', 'Animation', 'Family']",en,306941670,97.0,Rise of the Guardians,['Peter Ramsey']
100000000,['Comedy'],en,202026112,90.0,Fun with Dick and Jane,['Dean Parisot']
140000000,"['Drama', 'Action', 'War', 'History']",en,456758981,154.0,The Last Samurai,['Edward Zwick']
140000000,"['Adventure', 'Drama', 'Action']",en,268031828,150.0,Exodus: Gods and Kings,['Ridley Scott']
150000000,"['Science Fiction', 'Action', 'Adventure']",en,385680446,127.0,Star Trek,['J.J. Abrams']
139000000,"['Fantasy', 'Action']",en,821708551,121.0,Spider-Man,['Sam Raimi']
145000000,"['Fantasy', 'Action', 'Adventure', 'Animation', 'Comedy', 'Family']",en,609123048,102.0,How to Train Your Dragon 2,['Dean DeBlois']
140000000,['Fantasy'],en,150680864,127.0,Gods of Egypt,['Alex Proyas']
135000000,['Action'],en,76932943,121.0,Stealth,['Rob Cohen']
130000000,"['Action', 'Mystery', 'Science Fiction']",en,185258983,163.0,Watchmen,['Zack Snyder']
140000000,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",en,285444603,127.0,Lethal Weapon 4,['Richard Donner']
137000000,"['Drama', 'Action', 'Science Fiction']",en,245360480,138.0,Hulk,['Ang Lee']
130000000,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",en,371876278,110.0,G.I. Joe: Retaliation,['Jon M. Chu']
130000000,"['Action', 'Adventure', 'Comedy', 'Drama', 'Mystery']",en,119269486,124.0,Sahara,['Breck Eisner']
137000000,"['Adventure', 'Action', 'Animation', 'Fantasy', 'Science Fiction', 'Thriller']",en,85131830,106.0,Final Fantasy: The Spirits Within,"['Hironobu Sakaguchi', 'Motonori Sakakibara']"
140000000,"['Action', 'Adventure', 'Science Fiction']",en,370569774,124.0,Captain America: The First Avenger,['Joe Johnston']
135000000,"['Adventure', 'Action', 'Thriller']",en,361832400,128.0,The World Is Not Enough,['Michael Apted']
150000000,['Adventure'],en,212011111,138.0,Master and Commander: The Far Side of the World,['Peter Weir']
120000000,"['Adventure', 'Fantasy', 'Drama', 'Romance']",en,829000000,115.0,The Twilight Saga: Breaking Dawn - Part 2,['Bill Condon']
130000000,"['Animation', 'Comedy', 'Family']",en,150406466,100.0,Happy Feet Two,['George Miller']
150000000,"['Science Fiction', 'Action', 'Adventure']",en,163712074,114.0,The Incredible Hulk,['Louis Leterrier']
140000000,"['Adventure', 'Family', 'Fantasy']",en,183345589,120.0,The BFG,['Steven Spielberg']
135000000,"['Western', 'Drama', 'Adventure', 'Thriller']",en,532950503,156.0,The Revenant,['Alejandro González Iñárritu']
135000000,"['Animation', 'Family']",en,282570682,96.0,Turbo,['David Soren']
135000000,"['Animation', 'Comedy', 'Family', 'Western', 'Adventure']",en,245724603,107.0,Rango,['Gore Verbinski']
132000000,"['Family', 'Animation', 'Adventure', 'Comedy']",en,373552094,92.0,Penguins of Madagascar,"['Eric Darnell', 'Simon J. Smith']"
70000000,"['Action', 'Drama', 'Mystery', 'Thriller']",en,442824138,115.0,The Bourne Ultimatum,['Paul Greengrass']
130000000,"['Adventure', 'Animation', 'Family', 'Comedy']",en,631744560,90.0,Kung Fu Panda,"['Mark Osborne', 'John Stevenson']"
130000000,"['Science Fiction', 'Action', 'Adventure']",en,519311965,117.0,Ant-Man,['Peyton Reed']
130000000,"['Adventure', 'Action', 'Science Fiction']",en,847423452,146.0,The Hunger Games: Catching Fire,['Francis Lawrence']
135000000,"['Fantasy', 'Comedy', 'Animation', 'Science Fiction', 'Family']",en,368871007,94.0,Home,['Tim Johnson']
132000000,"['Adventure', 'Thriller', 'Science Fiction']",en,591739379,116.0,War of the Worlds,['Steven Spielberg']
130000000,"['Adventure', 'Action', 'Comedy', 'Thriller', 'Crime']",en,273339556,147.0,Bad Boys II,['Michael Bay']
130000000,"['Action', 'Adventure', 'Animation', 'Family', 'Fantasy']",en,554987477,90.0,Puss in Boots,['Chris Miller']
110000000,"['Action', 'Mystery', 'Thriller']",en,293329073,100.0,Salt,['Phillip Noyce']
125000000,"['Drama', 'Adventure']",en,362637473,139.0,Noah,['Darren Aronofsky']
130000000,"['Adventure', 'Animation', 'Mystery']",en,371940071,107.0,The Adventures of Tintin,['Steven Spielberg']
130000000,"['Adventure', 'Fantasy', 'Family']",en,789804554,141.0,Harry Potter and the Prisoner of Azkaban,['Alfonso Cuarón']
130000000,['Drama'],en,49554002,165.0,Australia,['Baz Luhrmann']
130000000,"['Science Fiction', 'Action', 'Adventure']",en,243843127,100.0,After Earth,['M. Night Shyamalan']
127500000,"['Animation', 'Family']",en,354248063,82.0,Dinosaur,"['Ralph Zondag', 'Eric Leighton']"
127000000,"['Adventure', 'Comedy', 'Fantasy', 'Family']",en,349424282,97.0,Night at the Museum: Secret of the Tomb,['Shawn Levy']
130000000,"['Animation', 'Action', 'Comedy', 'Family', 'Science Fiction']",en,321887208,95.0,Megamind,['Tom McGrath']
125000000,"['Adventure', 'Fantasy', 'Family']",en,976475550,152.0,Harry Potter and the Philosopher's Stone,['Chris Columbus']
130000000,"['Fantasy', 'Action', 'Comedy', 'Crime']",en,61648500,96.0,R.I.P.D.,['Robert Schwentke']
140000000,"['Adventure', 'Fantasy', 'Action']",en,655011224,143.0,Pirates of the Caribbean: The Curse of the Black Pearl,['Gore Verbinski']
125000000,"['Science Fiction', 'Adventure', 'Thriller']",en,752100229,123.0,The Hunger Games: Mockingjay - Part 1,['Francis Lawrence']
125000000,"['Thriller', 'Mystery']",en,767820459,149.0,The Da Vinci Code,['Ron Howard']
103000000,"['Animation', 'Adventure', 'Comedy', 'Family']",en,500188435,102.0,Rio 2,['Carlos Saldanha']
110000000,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",en,407711549,133.0,X2,['Bryan Singer']
125000000,"['Action', 'Thriller', 'Crime']",en,626137675,130.0,Fast Five,['Justin Lin']
125000000,"['Adventure', 'Action', 'Crime', 'Mystery']",en,334615000,129.0,Sherlock Holmes: A Game of Shadows,['Guy Ritchie']
125000000,"['Adventure', 'Fantasy', 'Action']",en,232713139,106.0,Clash of the Titans,['Louis Leterrier']
65000000,"['Action', 'Adventure', 'Science Fiction']",en,261317921,113.0,Total Recall,['Paul Verhoeven']
160000000,"['Adventure', 'Fantasy', 'Action']",en,61698899,102.0,The 13th Warrior,['John McTiernan']
130000000,"['Action', 'Thriller']",en,276572938,120.0,The Bourne Legacy,['Tony Gilroy']
125000000,"['Action', 'Crime', 'Fantasy']",en,238207122,125.0,Batman & Robin,['Joel Schumacher']
123000000,"['Family', 'Comedy', 'Fantasy']",en,345141403,104.0,How the Grinch Stole Christmas,['Ron Howard']
125000000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",en,544272402,124.0,The Day After Tomorrow,['Roland Emmerich']
125000000,"['Adventure', 'Action', 'Thriller']",en,546388105,123.0,Mission: Impossible II,['John Woo']
120000000,['Drama'],en,325756637,130.0,The Perfect Storm,['Wolfgang Petersen']
130000000,"['Adventure', 'Fantasy', 'Action', 'Thriller']",en,289047763,92.0,Fantastic 4: Rise of the Silver Surfer,['Tim Story']
120000000,"['Adventure', 'Drama', 'Action']",en,609016565,127.0,Life of Pi,['Ang Lee']
110000000,"['Thriller', 'Action', 'Fantasy', 'Horror']",en,228738393,114.0,Ghost Rider,['Mark Steven Johnson']
120000000,"['Action', 'Thriller']",en,415484914,123.0,Jason Bourne,['Paul Greengrass']
120000000,"['Action', 'Adventure', 'Comedy']",en,259175788,106.0,Charlie's Angels: Full Throttle,['McG']
130000000,"['Science Fiction', 'Adventure', 'Mystery']",en,403170142,124.0,Prometheus,['Ridley Scott']
120000000,"['Family', 'Adventure', 'Animation', 'Comedy']",en,169956806,78.0,Stuart Little 2,['Rob Minkoff']
115000000,"['Science Fiction', 'Action', 'Drama', 'Thriller']",en,286140700,109.0,Elysium,['Neill Blomkamp']
105000000,"['Action', 'Science Fiction']",en,115772733,119.0,The Chronicles of Riddick,['David Twohy']
120000000,"['Action', 'Science Fiction']",en,242688965,102.0,RoboCop,['José Padilha']
120000000,"['Action', 'Family', 'Science Fiction']",en,93945766,135.0,Speed Racer,"['Lilly Wachowski', 'Lana Wachowski']"
120000000,"['Comedy', 'Drama', 'Romance']",en,48668907,121.0,How Do You Know,['James L. Brooks']
117000000,"['Action', 'Comedy']",en,261930431,109.0,Knight and Day,['James Mangold']
120000000,"['Action', 'Science Fiction', 'Adventure', 'Mystery']",en,286168572,124.0,Oblivion,['Joseph Kosinski']
113000000,"['Science Fiction', 'Adventure', 'Action']",en,850000000,140.0,Star Wars: Episode III - Revenge of the Sith,['George Lucas']
120000000,"['Adventure', 'Action', 'Science Fiction']",en,649398328,142.0,Star Wars: Episode II - Attack of the Clones,['George Lucas']
115000000,"['Animation', 'Comedy', 'Family']",en,562816256,92.0,"Monsters, Inc.",['Pete Docter']
120000000,"['Action', 'Science Fiction', 'Adventure', 'Fantasy']",en,415440673,126.0,The Wolverine,['James Mangold']
115000000,"['Adventure', 'Action', 'Science Fiction']",en,924317558,136.0,Star Wars: Episode I - The Phantom Menace,['George Lucas']
135000000,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",en,585178928,98.0,The Croods,"['Chris Sanders', 'Kirk De Micco']"
97250400,"['Fantasy', 'Adventure', 'Comedy', 'Family']",fr,132900000,116.0,Asterix at the Olympic Games,"['Thomas Langmann', 'Frédéric Forestier']"
115000000,"['Drama', 'Action', 'History', 'War']",en,77628265,134.0,Windtalkers,['John Woo']
